Instance;num-models;num-parts;mean-demand;rsd-demand;mean-file-bytes;rsd-file-bytes;mean-MCV;rsd-MCV;mean-v-value;rsd-v-value;mean-connectivity-score;rsd-connectivity-score;mean-SR;rsd-SR;mean-MCVSR;rsd-MCVSR;mean-vol-MBB;rsd-vol-MBB;mean-num-facets;rsd-num-facets;mean-surface-area;rsd-surface-area;mean-volume;rsd-volume;vol-container;surface-container;mean-rel-vol-MBB;rsd-rel-vol-MBB;mean-rel-volume;rsd-rel-volume;mean-rel-surface-area;rsd-rel-surface-area;perc-parts-MCV-00-02;perc-parts-vvalue-00-02;perc-parts-SR-00-02;perc-parts-rel-vol-00-02;perc-parts-rel-vol-MBB-00-02;perc-parts-MCV-02-04;perc-parts-vvalue-02-04;perc-parts-SR-02-04;perc-parts-rel-vol-02-04;perc-parts-rel-vol-MBB-02-04;perc-parts-MCV-04-06;perc-parts-vvalue-04-06;perc-parts-SR-04-06;perc-parts-rel-vol-04-06;perc-parts-rel-vol-MBB-04-06;perc-parts-MCV-06-08;perc-parts-vvalue-06-08;perc-parts-SR-06-08;perc-parts-rel-vol-06-08;perc-parts-rel-vol-MBB-06-08;perc-parts-MCV-08-10;perc-parts-vvalue-08-10;perc-parts-SR-08-10;perc-parts-rel-vol-08-10;perc-parts-rel-vol-MBB-08-10;perc-parts-rel-vol-greater10;perc-parts-rel-vol-MBB-greater10
3DIPP-Instance-00001;4;6;1.5;0.333;40667.333;0.719;0.572;0.571;0.076;0.722;3335.405;1.413;0.466;0.537;0.349;0.927;727370.286;0.646;811.667;0.72;41943.803;0.418;240338.649;0.264;2578125;113750;0.283;0.653;0.09;0.272;0.369;0.418;0;1;0;1;0.5;0.5;0;0.5;0;0.167;0;0;0.167;0;0.333;0.167;0;0.333;0;0;0.333;0;0;0;0;0;0
3DIPP-Instance-00002;5;7;1.4;0.35;196598.286;1.16;0.556;0.297;0.144;0.258;4.038;0.319;0.265;0.555;0.141;0.645;725989.582;0.723;3930.286;1.16;29537.215;0.4;127363.797;0.732;2578125;113750;0.261;0.703;0.05;0.748;0.26;0.4;0;1;0.286;1;0.571;0.143;0;0.571;0;0;0.429;0;0.143;0;0.429;0.429;0;0;0;0;0;0;0;0;0;0;0
3DIPP-Instance-00003;6;8;1.333;0.354;164034;1.199;0.657;0.421;0.12;0.416;7.477;0.843;0.423;0.48;0.327;0.769;615433.015;1.927;3279;1.2;22084.149;0.845;102145.317;1.26;4440625;162750;0.084;1.663;0.024;1.244;0.136;0.845;0.125;1;0;1;0.875;0.125;0;0.625;0;0;0.125;0;0;0;0.125;0.25;0;0.375;0;0;0.375;0;0;0;0;0;0
3DIPP-Instance-00004;8;9;1.125;0.294;139828.444;0.724;0.421;0.344;0.143;0.12;2.93;0.337;0.264;0.784;0.129;0.975;821865.564;0.83;2794.889;0.725;35677.03;0.472;161937.179;1.04;4440625;162750;0.139;0.68;0.036;1.102;0.219;0.472;0.111;1;0.444;1;0.889;0.444;0;0.222;0;0.111;0.333;0;0.222;0;0;0.111;0;0.111;0;0;0;0;0;0;0;0;0
3DIPP-Instance-00005;8;10;1.25;0.346;679864;1.394;0.464;0.541;0.095;0.528;1003.536;2.988;0.384;0.498;0.217;0.945;516316.279;0.88;13595.6;1.394;43353.297;0.836;136993.997;0.608;2578125;113750;0.193;0.935;0.054;0.621;0.381;0.836;0.2;1;0.1;1;0.7;0.3;0;0.5;0;0.2;0.1;0;0.3;0;0;0.3;0;0.1;0;0.1;0.1;0;0;0;0;0;0
3DIPP-Instance-00006;8;11;1.375;0.506;263284;1.896;0.533;0.544;0.113;0.319;5.514;0.62;0.382;0.44;0.229;0.865;727523.079;1.085;5264;1.897;36704.677;0.59;158147.912;0.653;6758775;222990;0.093;0.971;0.024;0.682;0.165;0.59;0.091;1;0.091;1;0.909;0.545;0;0.455;0;0.091;0;0;0.273;0;0;0;0;0.182;0;0;0.364;0;0;0;0;0;0
3DIPP-Instance-00007;9;12;1.333;0.354;122913.167;1.409;0.456;0.499;0.124;0.533;836.336;3.304;0.307;0.729;0.171;1.203;874319.685;1.129;2892.25;1.681;33911.746;0.816;138155.27;1.025;4440625;162750;0.173;1.108;0.032;1.03;0.208;0.822;0;0.917;0.417;1;0.667;0.5;0.083;0.333;0;0.167;0.167;0;0.083;0;0.167;0.25;0;0.167;0;0;0.083;0;0;0;0;0;0
3DIPP-Instance-00008;5;13;2.6;0.308;405953.231;1.555;0.487;0.528;0.106;0.662;4.813;0.656;0.324;0.71;0.201;0.945;471025.172;1.224;8117.385;1.555;22206.531;1.067;35046.105;0.902;2578125;113750;0.124;1.194;0.013;1.056;0.195;1.067;0.154;0.846;0.538;1;0.615;0.385;0.154;0;0;0.385;0.308;0;0.462;0;0;0;0;0;0;0;0.154;0;0;0;0;0;0
3DIPP-Instance-00009;4;14;3.5;0.319;236298.286;0.677;0.317;0.286;0.104;0.328;3.204;0.252;0.273;0.811;0.091;0.775;918188.064;1.048;4724.286;0.678;37801.784;0.811;197500.786;0.872;6758775;222990;0.112;1.066;0.027;0.885;0.17;0.811;0;1;0.357;1;0.571;0.714;0;0.429;0;0.429;0.286;0;0;0;0;0;0;0.214;0;0;0;0;0;0;0;0;0
3DIPP-Instance-00010;14;15;1.071;0.24;50317.333;1.156;0.526;0.338;0.147;0.323;3.765;0.407;0.375;0.521;0.224;0.699;673302.918;0.949;1004.667;1.158;35697.214;0.581;143374.244;0.521;6758775;222990;0.093;0.904;0.021;0.564;0.16;0.581;0.067;0.867;0.333;1;0.867;0.2;0.133;0.2;0;0.133;0.333;0;0.333;0;0;0.333;0;0.133;0;0;0.067;0;0;0;0;0;0
3DIPP-Instance-00011;11;16;1.455;0.451;621034;1.775;0.421;0.463;0.098;0.435;628.898;3.847;0.311;0.544;0.155;1.129;937701.935;0.691;12419;1.775;56432.83;0.748;242557.178;0.568;6758775;222990;0.138;0.717;0.036;0.559;0.253;0.748;0.063;1;0.125;1;0.625;0.625;0;0.688;0;0.375;0.188;0;0.125;0;0;0.063;0;0.063;0;0;0.063;0;0;0;0;0;0
3DIPP-Instance-00012;7;17;2.429;0.533;1924707.529;1.11;0.414;0.555;0.115;0.52;3.576;0.671;0.252;0.971;0.141;1.602;1609829.063;1.044;38492.471;1.11;33554.974;0.863;123913.748;0.935;16500000;397000;0.069;1.001;0.005;1.061;0.085;0.863;0.176;1;0.529;1;1;0.412;0;0.176;0;0;0.294;0;0.176;0;0;0;0;0.118;0;0;0.118;0;0;0;0;0;0
