File 	Id Model	 Size 	 #Facets 	 Surface 	 Volume 	 Width (original) 	 Height (original) 	 Depth (original) 	 Vol of Envelope (original) 	 MBB-orientation 	 MBB-dimensions 	 volume-MBB 	 Spies-ratio 	 MCV 	 V-value 	 Valentan 	 Time
PartType_0.STL	0	1984	38	25115.83	174983.44	98.44	32.45	100	319444.69	[0°,0°,0°]	[98.44x32.45x100.00]	319444.69	0.548	1.000	0.000	5.45	309.23
PartType_1.STL	1	3484	68	52005.02	738744.06	100	100	100	1000000	[0°,0°,0°]	[100.00x100.00x100.00]	1000000	0.739	0.921	0.132	4.79	2637.37
PartType_2.STL	2	684	12	7437.94	28415.21	72.22	49.31	47.88	170491.11	[0°,0°,0°]	[72.22x49.31x47.88]	170491.11	0.167	1.000	0.000	3.14	161.05
PartType_3.STL	3	584	10	11862.31	57857.31	66.87	60.2	86.24	347143.44	[324°,270°,144°]	[86.24x60.20x66.87]	347143.43	0.167	1.000	0.000	2.05	165.51
PartType_4.STL	4	5084	100	27491.45	254154.67	40	120	80	384000	[0°,0°,0°]	[40.00x120.00x80.00]	384000	0.662	0.811	0.135	10.82	134.05
PartType_5.STL	5	3284	64	27616.68	254048	40	120	80	384000	[0°,0°,0°]	[40.00x120.00x80.00]	384000	0.662	0.798	0.152	6.96	134.82
PartType_6.STL	6	4284	84	27570.11	253973.33	40	120	80	384000	[0°,0°,0°]	[40.00x120.00x80.00]	384000	0.661	0.756	0.090	9.12	126.35
PartType_7.STL	7	5584	110	27530.56	253904.67	80	80	80	512000	[0°,0°,0°]	[80.00x80.00x80.00]	512000	0.496	0.750	0.168	11.93	1080.62
PartType_8.STL	8	3284	64	21404.13	190368	40	80	80	256000	[0°,0°,0°]	[40.00x80.00x80.00]	256000	0.744	0.828	0.135	7.20	518.34
PartType_9.STL	9	5484	108	27580.14	253986.67	80	80	80	512000	[0°,0°,0°]	[80.00x80.00x80.00]	512000	0.496	0.726	0.137	11.73	1207.00
PartType_10.STL	10	5184	102	27577.81	253984.67	80	80	80	512000	[0°,0°,0°]	[80.00x80.00x80.00]	512000	0.496	0.726	0.137	11.08	1085.34
PartType_11.STL	11	635684	12712	41672.68	167003.03	152.52	91.42	62.47	871059.73	[0°,0°,0°]	[152.52x91.42x62.47]	871059.73	0.192	0.447	0.174	3172.06	6505.21
